305 : 43521 | Magnitude: 24792.505859375 | Phase_angle: -26.510754301095435
306 : 43521 | Magnitude: 24774.23046875 | Phase_angle: -22.998204869464026
307 : 43521 | Magnitude: 24765.111328125 | Phase_angle: -21.657172358012893
308 : 43521 | Magnitude: 24792.400390625 | Phase_angle: -19.835791425254982
309 : 43521 | Magnitude: 24783.38671875 | Phase_angle: -15.234941849388541
310 : 43521 | Magnitude: 24801.5625 | Phase_angle: -14.209619464395615
311 : 43521 | Magnitude: 24750.015625 | Phase_angle: -13.113596083756594
312 : 43521 | Magnitude: 24774.23046875 | Phase_angle: -12.582147602174365
313 : 43521 | Magnitude: 24777.443359375 | Phase_angle: -11.516530516172947
314 : 43521 | Magnitude: 24783.353515625 | Phase_angle: -9.671518836434084
315 : 43521 | Magnitude: 24781.45703125 | Phase_angle: -9.10426821076994
316 : 43521 | Magnitude: 24783.15234375 | Phase_angle: -5.007643690001351
317 : 43521 | Magnitude: 24782.681640625 | Phase_angle: -4.812813397700384
318 : 43521 | Magnitude: 24794.203125 | Phase_angle: -2.9913396170584408
319 : 43521 | Magnitude: 24752.283203125 | Phase_angle: -3.614947200781418
320 : 43521 | Magnitude: 24774.1953125 | Phase_angle: 2.68717720605261
321 : 43521 | Magnitude: 24772.587890625 | Phase_angle: 3.2085865902153903
322 : 43521 | Magnitude: 24749.12890625 | Phase_angle: 5.037002404375005
323 : 43521 | Magnitude: 24765.11328125 | Phase_angle: 5.981684160932176
324 : 43521 | Magnitude: 24755.8828125 | Phase_angle: 7.500023260594963
325 : 43521 | Magnitude: 24737.5390625 | Phase_angle: 8.783448249038916
326 : 43521 | Magnitude: 24700.916015625 | Phase_angle: 10.897961264179912
327 : 43521 | Magnitude: 24717.765625 | Phase_angle: 11.43626127927331
328 : 43521 | Magnitude: 24694.837890625 | Phase_angle: 12.720464909282645
329 : 43521 | Magnitude: 24708.640625 | Phase_angle: 12.673844599329078
330 : 43521 | Magnitude: 24685.845703125 | Phase_angle: 14.003897581689415
331 : 43521 | Magnitude: 24726.76171875 | Phase_angle: 14.083282309091535
332 : 43521 | Magnitude: 24750.724609375 | Phase_angle: 13.883160327731101
333 : 43521 | Magnitude: 24700.955078125 | Phase_angle: 18.47216806312403
334 : 43521 | Magnitude: 24704.26171875 | Phase_angle: 19.554968197529906
335 : 43521 | Magnitude: 24701.07421875 | Phase_angle: 23.095931216108568
336 : 43521 | Magnitude: 24700.990234375 | Phase_angle: 24.167365915735544
337 : 43521 | Magnitude: 24701.2109375 | Phase_angle: 24.471049786612653
338 : 43521 | Magnitude: 24719.298828125 | Phase_angle: 25.79997237266535
339 : 43521 | Magnitude: 24746.98046875 | Phase_angle: 26.10266074347093
340 : 43521 | Magnitude: 24701.73046875 | Phase_angle: 27.68579784778963
341 : 43521 | Magnitude: 24719.8828125 | Phase_angle: 29.58226988028266
